Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
1,29,Other,4,9.5,34,98433
0,31,Tech,7,10.5,23,152834
0,36,Tech,7,13.0,36,230869
0,26,Other,4,8.0,48,93517
0,29,Finance,1,9.5,59,106837
0,36,Media,2,13.0,73,235845
1,26,Tech,7,8.0,46,98683
1,32,Tech,7,11.0,43,224625
0,36,Media,2,13.0,111,187462
0,40,Other,4,15.0,177,332122
1,22,Engineering,0,6.0,12,65087
1,33,Other,4,11.5,48,113015
0,34,Tech,7,12.0,56,210585
0,33,Other,4,11.5,36,84392
1,29,Finance,1,9.5,60,76377
0,29,Media,2,9.5,30,133804
0,33,Tech,7,11.5,48,211092
0,36,Other,4,13.0,37,223968
0,31,Other,4,10.5,37,112974
0,30,Other,4,10.0,26,141230
1,28,Tech,7,9.0,35,160354
1,30,Other,4,10.0,68,156414
0,32,Media,2,11.0,48,235155
1,26,Other,4,8.0,6,44375
1,32,Sales,6,11.0,37,344731
0,33,Media,2,11.5,57,288597
0,35,Other,4,12.5,74,301605
0,28,Other,4,9.0,84,255217
1,33,Product,5,11.5,86,150889
1,26,Other,4,8.0,48,122087
1,26,Media,2,8.0,11,104133
1,27,Other,4,8.5,72,158238
1,35,Other,4,12.5,76,254223
0,33,Engineering,0,11.5,13,252993
0,38,Other,4,14.0,114,267435
0,31,Media,2,10.5,42,292561
0,32,Tech,7,11.0,8,145680
1,29,Other,4,9.5,23,88602
0,32,Tech,7,11.0,67,277327
0,26,Tech,7,8.0,14,126767
0,38,Media,2,14.0,68,352286
0,29,Other,4,9.5,15,88822
0,29,Tech,7,9.5,69,143817
1,39,Media,2,14.5,71,288103
0,31,Other,4,10.5,62,159893
0,27,Media,2,8.5,28,79689
0,33,Other,4,11.5,34,163174
0,28,Other,4,9.0,22,71662
0,24,Operations,3,7.0,8,82263
0,37,Other,4,13.5,9,114591
0,30,Product,5,10.0,37,131181
0,28,Operations,3,9.0,48,184068
0,31,Other,4,10.5,77,236285
1,24,Other,4,7.0,36,80779
0,30,Tech,7,10.0,10,191460
0,26,Tech,7,8.0,13,94867
0,34,Other,4,12.0,49,109711
0,36,Tech,7,13.0,36,244715
1,33,Tech,7,11.5,47,142609
1,27,Tech,7,8.5,68,133350
0,28,Other,4,9.0,42,63789
0,35,Tech,7,12.5,101,228296
0,29,Tech,7,9.5,97,247988
1,36,Operations,3,13.0,89,236048
0,33,Other,4,11.5,67,132568
0,33,Engineering,0,11.5,57,287006
0,24,Media,2,7.0,36,84132
0,30,Media,2,10.0,34,170548
0,40,Other,4,15.0,121,227938
1,28,Engineering,0,9.0,7,249200
0,33,Other,4,11.5,84,261530
1,25,Tech,7,7.5,11,65967
0,36,Other,4,13.0,126,191767
0,26,Other,4,8.0,53,152402
0,47,Other,4,18.5,42,369758
0,30,Product,5,10.0,49,148974
0,32,Tech,7,11.0,36,200552
